location,text,hashtags
,"Just when I think the teenager couldn't get any more objectionable, I discover the reason he's been shouting unintelligibly in his room.

He's made a list of elderly (and somewhat deaf) relatives and is ringing to check on them daily.

Oh my heart. #TheKidsAreAlright #COVID19",[]
"Sunderland,Ma","“It is absolutely critical that Americans continue to follow the federal government’s guidelines about social distancing, nonessential travel, and handwashing. Defeating this unseen enemy (#COVID19) requires the help and commitment of every single American.” @realDonaldTrump",[]
"London, Ontario","#Stayhome, Toronto! Visiting friends is not social distancing. Gathering in parks is not social distancing. Social distancing means staying home and staying six feet apart from others. Do your part to help prevent the spread of #COVID19. https://t.co/9Unc5FtjZu https://t.co/rYjhHzZ2dD","[{'text': 'Stayhome', 'indices': [19, 28]}]"
"Saraland, Alabama","Today is my son’s 5th birthday, we had a big party planned but had to cancel due to #COVID19. Wish him happy birthday! https://t.co/9ZmRam7xwe","[{'text': 'COVID19', 'indices': [99, 107]}]"
Home visits&gigs anywhere,"""Romney's in isolation? Gee, that's too bad."" - Donald Trump

During a press briefing #pandemic update, our president replied to a question from a reporter w/ sarcasm and apparent happiness re #isolation of the only GOP senator to vote to against him during #impeachment. #COVID19","[{'text': 'pandemic', 'indices': [105, 114]}]"
,"We stand by Italy during these trying times. Share your Support for our Italian friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly","[{'text': 'COVID19', 'indices': [161, 169]}, {'text': 'WeStandWithItaly', 'indices': [170, 187]}]"
,"Florida Lawmakers will be hopping on a call w/@GovRonDeSantis staff TONIGHT at 6:30pm. Please retweet if you want FL to enact a shelter in place requirement to prevent the spread #COVID19! 

#DeSantis #FloridaLockDown #Coronavirus",[]
"Arlington, Texas","Breaking: American medical epidemiologist embedded with Chinese Disease Control Agency had her job eliminated in July 2019 by Trump administration. 

First outbreak in China in November 2019. 

Her job was to sound the alarm 

#COVID19 

1/2 

https://t.co/pYvhRasf1R",[]
United Kingdom,"This is the face of someone who just spent 9 hours in personal protective equipment moving critically ill Covid19 patients around London.

I feel broken - and we are only at the start. I am begging people, please please do social distancing and self isolation #covid19 https://t.co/hs0RQdvsn3",[]
USA,"I just voted no on the partisan #COVID19  bill. Here's why: while nurses are being forced to make their own masks and gowns, McConnell and Trump are busy creating a taxpayer-funded slush fund for their buddies. I will stay here as long it takes to get this done the right way.","[{'text': 'COVID19', 'indices': [46, 54]}]"
,"📅 TMRW @ 10AM: Join us, @childcareaware, @naeyc &amp; @ECEConsortium for a tweetstorm as we urge Congress to #fundchildcare amid the #COVID19 pandemic. #ChildCareNow #ThinkBabiesandAct https://t.co/Brb18Z1ajI","[{'text': 'fundchildcare', 'indices': [126, 140]}]"
"Córdoba, Argentina",Case report shared: Admitted 48 days after Covid-19 Index case in Seattle. Read about lessons learned. @UWMedicine @NEJMres360 #COVID19,[]
,"There aren't enough #COVID19 tests to go around, not even for doctors, but you know who gets one? Rand Paul, the only senator who voted against the coronavirus aid package.  https://t.co/fHKZZvftBs","[{'text': 'COVID19', 'indices': [36, 44]}]"
"California, USA",From my surgeon friend in Barcelona taking care of #COVID19 patients. “Be prepared and tell others..patients are lying on the floor in blankets in some other large hospitals.. death rate up exponentially..” His hospital is using 4 times as many ventilators now as last week. 1/5,"[{'text': 'COVID19', 'indices': [67, 75]}]"
Lagos,"Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
,"I support what @segalink is saying about testing all Nigerians, because I have this feeling that many Nigerians already have the virus. This is the best way to manage and reduce the spreading and eventually death rate. 
But the question is, Will the Leadership do this?
#COVID19","[{'text': 'COVID19', 'indices': [270, 278]}]"
Dingle/Daingean Uí Chúis,"Lads, the sooner we avoid beaches and pubs and racing festivals, the sooner we can return to beaches and pubs and racing festivals. Just think about it.
#coronavirus #COVIDIOT #COVID19 #SocialDistancing",[]
