location,text,hashtags
,"ANNOUNCEMENT: Barnstormers are launching a grassroots plan of action! We’ve created a special COVID-19 Center on our new website with helpful info and a form where you can submit info about helpful initiatives in your state. 
https://t.co/hS8GvmjsSB
#COVIDー19 #BarnstormersUSA https://t.co/Mmxm33p7av",[]
,"In #Turkey, people have started to leave food packets on the road for the poor and the needy who cannot earn due to #COVIDー19 lockdown. 
Love you #Turks for representing us. https://t.co/9wYTiIJV24 #coronavirus #COVID19 #Italy #MulikaCorona #coronaviruskenya","[{'text': 'Turkey', 'indices': [20, 27]}]"
"Alimena, Sicilia","“Italy is not alone...

I thank the Russian Federation, President Putin, and the government for all the support they are showing.”

— Italian Foreign Minister Luigi Di Maio 

Russia sent 9 planes with medical aid to #Italy to help it fight the #COVID19. https://t.co/DVlpidudgL",[]
"Liverpool, England","Despite teaching the considerations of #COVID19 and taking all the precautions during clinical shifts I've become ill and tested positive for #coronavirus.

The highly infectious nature of this virus means that many more healthcare workers will invariably catch it too.

#StayHome","[{'text': 'COVID19', 'indices': [57, 65]}]"
"Dallas, TX","and water treatment and sewage systems, etc... Not only that, as the hospitals filled up and horror stories emerged, you'd have tons of deaths from things other than Covid-19 that couldn't get treated. This would make ppl more scared of getting the bug and lead to further retreat",[]
MCR,"UPDATE on coronavirus (#COVID19) testing in the UK:

As of 9am on 23 March, a total of 83,945 have been tested:

77,295 negative.
6,650 positive.

As of 1pm, 335 patients who tested positive for coronavirus have sadly died.

The digital dashboard will be updated later today. https://t.co/NwiiPlZzKZ","[{'text': 'COVID19', 'indices': [38, 46]}]"
"Rockledge, FL","Trump is ignoring data, calling for Americans to return to normal.

This is dangerous and misleading.

Good, bad, right, or wrong, there will be a new normal in the US. 

There will be BC - Before #COVID19 &amp; AC - After #COVID19.

The Before is gone. The After is up to us. #Unity",[]
"Swindon, England","☆ Colouring Sheet Printables ☆ 
As we are all being asked to #stayhome some colouring sheets are on my website for kids ⬇️

https://t.co/boH07HRsbF

https://t.co/HOXGd51dQA

https://t.co/U2bVnB8Ti7

https://t.co/x52SVN5leW

https://t.co/jN8FeAJ0Ue

https://t.co/7HmqziUKml https://t.co/NpUSazhWC5","[{'text': 'stayhome', 'indices': [81, 90]}]"
goa,"#Goa govt has decided to keep groceries, milk, Veg, fish, stalls &amp; supermarkets open between 6 am to 11 am from tmrw. Entry of veg, fish &amp; milk from Maharashtra stopped, water, LPG, petrol, power services to remain open; Review of restrictions on 26 March: Michael Lobo #Covid_19","[{'text': 'Goa', 'indices': [21, 25]}]"
"London, England","Whether you are cooking at home or ordering delivery, here are a few reminders about #FoodSafety that apply with or without #COVID19 
🔹Use different chopping boards for raw meat &amp; cooked food
🔹Keep your hands clean when handling food
🔹Cook meat thoroughly
🔹Store food safely https://t.co/QRcAa6X12p","[{'text': 'FoodSafety', 'indices': [101, 112]}]"
