Start Date,AL,AK,AS,AZ,AR,CA,CO,CT,DE,DC,FM,FL,GA,GU,HI,ID,IL,IN,IA,KS,KY,LA,ME,MH,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,MP,OH,OK,OR,PW,PA,PR,RI,SC,SD,TN,TX,UT,VT,VI,VA,WA,WV,WI,WY,Unknown
03-01,0,0,0,4,0,70,8,2,0,0,0,8,6,0,1,0,3,1,0,0,1,0,0,0,3,6,0,1,0,0,0,1,2,2,4,0,76,2,0,0,0,1,5,0,2,0,2,2,0,1,8,1,0,0,0,96,0,0,0,-23
03-07,6,0,0,7,12,258,93,20,6,10,0,68,60,0,3,2,58,15,17,8,13,77,3,0,23,131,25,20,6,4,5,13,19,5,65,10,449,22,1,0,26,3,26,0,45,3,17,17,9,31,48,9,5,0,41,465,0,26,2,-20
03-14,125,15,0,106,110,1024,289,172,39,67,0,583,441,15,33,34,689,112,51,49,73,508,67,0,167,387,763,117,134,70,16,24,140,48,1258,33,11185,229,27,0,222,49,82,0,349,18,46,152,5,339,524,126,24,0,115,1221,8,255,21,0
03-21,563,70,0,655,287,3731,1350,1330,169,227,0,3104,1859,40,112,198,2738,1105,230,209,306,2730,141,0,802,3732,3862,303,523,762,108,58,465,132,9797,165,40700,767,66,0,1158,324,365,0,2449,79,173,489,54,1140,1874,466,182,22,584,2237,88,773,59,-1
03-28,293,34,0,516,114,3115,1226,1604,105,191,0,2978,1563,14,55,281,2503,925,199,168,235,1922,92,0,665,2363,2965,188,274,521,69,76,488,170,7572,107,23423,515,28,2,793,191,211,0,2118,139,249,423,40,880,1354,286,82,8,509,1402,66,357,27,0
